Feature ranking for target 'hips_position' based on KDE Conditional Probability Accuracy:
--------------------------------------------------------------------------------
126. right_heel_y                             | Accuracy: 0.6564
127. right_heel_z                             | Accuracy: 0.6564
128. right_heel_visibility                    | Accuracy: 0.6564
129. left_foot_index_x                        | Accuracy: 0.6564
130. left_foot_index_y                        | Accuracy: 0.6564
131. left_foot_index_z                        | Accuracy: 0.6564
132. left_foot_index_visibility               | Accuracy: 0.6564
133. right_foot_index_x                       | Accuracy: 0.6564
134. right_foot_index_y                       | Accuracy: 0.6564
135. right_foot_index_z                       | Accuracy: 0.6564
136. right_foot_index_visibility              | Accuracy: 0.6564
137. left_arm_distance                        | Accuracy: 0.6564
138. right_arm_distance                       | Accuracy: 0.6564
139. left_arm_index_shoulder                  | Accuracy: 0.6564
140. right_arm_index_shoulder                 | Accuracy: 0.6564
141. mid_hip_x                                | Accuracy: 0.6564
142. mid_hip_y                                | Accuracy: 0.6564
143. nose_centered_x                          | Accuracy: 0.6564
144. nose_centered_y                          | Accuracy: 0.6564
145. nose_centered_z                          | Accuracy: 0.6564
146. left_eye_inner_centered_x                | Accuracy: 0.6564
147. left_eye_inner_centered_y                | Accuracy: 0.6564
148. left_eye_inner_centered_z                | Accuracy: 0.6564
149. left_eye_centered_x                      | Accuracy: 0.6564
150. left_eye_centered_y                      | Accuracy: 0.6564
151. left_eye_centered_z                      | Accuracy: 0.6564
152. left_eye_outer_centered_x                | Accuracy: 0.6564
153. left_eye_outer_centered_y                | Accuracy: 0.6564
154. left_eye_outer_centered_z                | Accuracy: 0.6564
155. right_eye_inner_centered_x               | Accuracy: 0.6564
156. right_eye_inner_centered_y               | Accuracy: 0.6564
157. right_eye_inner_centered_z               | Accuracy: 0.6564
158. right_eye_centered_x                     | Accuracy: 0.6564
159. right_eye_centered_y                     | Accuracy: 0.6564
160. right_eye_centered_z                     | Accuracy: 0.6564
161. right_eye_outer_centered_x               | Accuracy: 0.6564
162. right_eye_outer_centered_y               | Accuracy: 0.6564
163. right_eye_outer_centered_z               | Accuracy: 0.6564
164. left_ear_centered_x                      | Accuracy: 0.6564
165. left_ear_centered_y                      | Accuracy: 0.6564
166. left_ear_centered_z                      | Accuracy: 0.6564
167. right_ear_centered_x                     | Accuracy: 0.6564
168. right_ear_centered_y                     | Accuracy: 0.6564
169. right_ear_centered_z                     | Accuracy: 0.6564
170. mouth_left_centered_x                    | Accuracy: 0.6564
171. mouth_left_centered_y                    | Accuracy: 0.6564
172. mouth_left_centered_z                    | Accuracy: 0.6564
173. mouth_right_centered_x                   | Accuracy: 0.6564
174. mouth_right_centered_y                   | Accuracy: 0.6564
175. mouth_right_centered_z                   | Accuracy: 0.6564
176. left_shoulder_centered_x                 | Accuracy: 0.6564
177. left_shoulder_centered_y                 | Accuracy: 0.6564
178. left_shoulder_centered_z                 | Accuracy: 0.6564
179. right_shoulder_centered_x                | Accuracy: 0.6564
180. right_shoulder_centered_y                | Accuracy: 0.6564
181. right_shoulder_centered_z                | Accuracy: 0.6564
182. left_elbow_centered_x                    | Accuracy: 0.6564
183. left_elbow_centered_y                    | Accuracy: 0.6564
184. left_elbow_centered_z                    | Accuracy: 0.6564
185. right_elbow_centered_x                   | Accuracy: 0.6564
186. right_elbow_centered_y                   | Accuracy: 0.6564
187. right_elbow_centered_z                   | Accuracy: 0.6564
188. left_wrist_centered_x                    | Accuracy: 0.6564
189. left_wrist_centered_y                    | Accuracy: 0.6564
190. left_wrist_centered_z                    | Accuracy: 0.6564
191. right_wrist_centered_x                   | Accuracy: 0.6564
192. right_wrist_centered_y                   | Accuracy: 0.6564
193. right_wrist_centered_z                   | Accuracy: 0.6564
194. left_pinky_centered_x                    | Accuracy: 0.6564
195. left_pinky_centered_y                    | Accuracy: 0.6564
196. left_pinky_centered_z                    | Accuracy: 0.6564
197. right_pinky_centered_x                   | Accuracy: 0.6564
198. right_pinky_centered_y                   | Accuracy: 0.6564
199. right_pinky_centered_z                   | Accuracy: 0.6564
200. left_index_centered_x                    | Accuracy: 0.6564
201. left_index_centered_y                    | Accuracy: 0.6564
202. left_index_centered_z                    | Accuracy: 0.6564
203. right_index_centered_x                   | Accuracy: 0.6564
204. right_index_centered_y                   | Accuracy: 0.6564
205. right_index_centered_z                   | Accuracy: 0.6564
206. left_thumb_centered_x                    | Accuracy: 0.6564
207. left_thumb_centered_y                    | Accuracy: 0.6564
208. left_thumb_centered_z                    | Accuracy: 0.6564
209. right_thumb_centered_x                   | Accuracy: 0.6564
210. right_thumb_centered_y                   | Accuracy: 0.6564
211. right_thumb_centered_z                   | Accuracy: 0.6564
212. left_hip_centered_x                      | Accuracy: 0.6564
213. left_hip_centered_y                      | Accuracy: 0.6564
214. left_hip_centered_z                      | Accuracy: 0.6564
215. right_hip_centered_x                     | Accuracy: 0.6564
216. right_hip_centered_y                     | Accuracy: 0.6564
217. right_hip_centered_z                     | Accuracy: 0.6564
218. left_knee_centered_x                     | Accuracy: 0.6564
219. left_knee_centered_y                     | Accuracy: 0.6564
220. left_knee_centered_z                     | Accuracy: 0.6564
221. right_knee_centered_x                    | Accuracy: 0.6564
222. right_knee_centered_y                    | Accuracy: 0.6564
223. right_knee_centered_z                    | Accuracy: 0.6564
224. left_ankle_centered_x                    | Accuracy: 0.6564
225. left_ankle_centered_y                    | Accuracy: 0.6564
226. left_ankle_centered_z                    | Accuracy: 0.6564
227. right_ankle_centered_x                   | Accuracy: 0.6564
228. right_ankle_centered_y                   | Accuracy: 0.6564
229. right_ankle_centered_z                   | Accuracy: 0.6564
230. left_heel_centered_x                     | Accuracy: 0.6564
231. left_heel_centered_y                     | Accuracy: 0.6564
232. left_heel_centered_z                     | Accuracy: 0.6564
233. right_heel_centered_x                    | Accuracy: 0.6564
234. right_heel_centered_y                    | Accuracy: 0.6564
235. right_heel_centered_z                    | Accuracy: 0.6564
236. left_foot_index_centered_x               | Accuracy: 0.6564
237. left_foot_index_centered_y               | Accuracy: 0.6564
238. left_foot_index_centered_z               | Accuracy: 0.6564
239. right_foot_index_centered_x              | Accuracy: 0.6564
240. right_foot_index_centered_y              | Accuracy: 0.6564
241. right_foot_index_centered_z              | Accuracy: 0.6564
242. left_torso_px                            | Accuracy: 0.6564
243. right_torso_px                           | Accuracy: 0.6564
244. avg_torso_px                             | Accuracy: 0.6564
245. left_arm_ratio                           | Accuracy: 0.6564
246. right_arm_ratio                          | Accuracy: 0.6564
247. left_shoulder_elbow_y_norm               | Accuracy: 0.6564
248. right_shoulder_elbow_y_norm              | Accuracy: 0.6564
249. hip_line_error                           | Accuracy: 0.6564
250. left_arm_compression                     | Accuracy: 0.6564
251. right_arm_compression                    | Accuracy: 0.6564
252. avg_arm_compression                      | Accuracy: 0.6564
253. delta_hip_line_error                     | Accuracy: 0.6564
