Source: Offline Video - long.mp4
Date & Time: 2026-07-13 18:07:59
==========================================================================================
Frame: 0050 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0051 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0052 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0053 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0054 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0055 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0056 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0057 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0058 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0059 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0060 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0061 | Phase: None            | Hip: None            | Times(ms) -> MP: 22.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0062 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0063 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0064 | Phase: None            | Hip: None            | Times(ms) -> MP: 23.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0065 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0066 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0067 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0068 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0069 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0070 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0071 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0072 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0073 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0074 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0075 | Phase: None            | Hip: None            | Times(ms) -> MP: 24.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0076 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0077 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0078 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0079 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0080 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0081 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0082 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0083 | Phase: None            | Hip: None            | Times(ms) -> MP: 24.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0084 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0085 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0086 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0087 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0088 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0089 | Phase: None            | Hip: None            | Times(ms) -> MP: 15.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0090 | Phase: None            | Hip: None            | Times(ms) -> MP: 16.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0091 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0092 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0093 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0094 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0095 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0096 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0097 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0098 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0099 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0100 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.0, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0101 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.4, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0102 | Phase: None            | Hip: None            | Times(ms) -> MP: 25.6, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0103 | Phase: None            | Hip: None            | Times(ms) -> MP: 18.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0104 | Phase: None            | Hip: None            | Times(ms) -> MP: 21.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0105 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0106 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0107 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.2, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0108 | Phase: None            | Hip: None            | Times(ms) -> MP: 17.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0109 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0110 | Phase: None            | Hip: None            | Times(ms) -> MP: 20.3, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0111 | Phase: None            | Hip: None            | Times(ms) -> MP: 19.4, Feat: 00.0, Predict: 00.0, States: 00.0
