Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-27 08:22:00
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1785140449516 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.348, ankle_x: 0.802] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 85.2, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1785140449582 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.350, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1785140449648 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.350, ankle_x: 0.800] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1785140449714 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.350, ankle_x: 0.803] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 73.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1785140449780 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.350, ankle_x: 0.802] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 77.9, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1785140449846 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.350, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 70.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1785140449912 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.351, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 74.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1785140449978 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.351, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1785140450044 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.352, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 80.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1785140450110 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.805] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 73.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1785140450176 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.805] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1785140450242 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.804] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 75.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1785140450308 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.805] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 75.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1785140450374 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.805] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 72.8, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1785140450440 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.806] | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.1, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1785140450506 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.353, ankle_x: 0.807] | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.3, Feat: 00.2, Predict: 02.9, States: 00.0
