Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 08:53:06
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1784623963157 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.3) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784623963223 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 58.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784623963289 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 58.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784623963355 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 59.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784623963421 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 56.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784623963487 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 56.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784623963553 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 59.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784623963619 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 56.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784623963685 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 56.1, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784623963751 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.4, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 60.4, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784623963817 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 52.8, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0024 | Processed: Yes  | TS(ms): 1784623963883 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 55.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0026 | Processed: Yes  | TS(ms): 1784623963949 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 53.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0028 | Processed: Yes  | TS(ms): 1784623964015 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 53.8, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0030 | Processed: Yes  | TS(ms): 1784623964081 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 51.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0032 | Processed: Yes  | TS(ms): 1784623964147 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 58.7, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0034 | Processed: Yes  | TS(ms): 1784623964213 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 57.5, Feat: 00.2, Predict: 02.2, States: 00.0
Frame: 0036 | Processed: Yes  | TS(ms): 1784623964279 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 56.4, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0038 | Processed: Yes  | TS(ms): 1784623964345 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 55.5, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0040 | Processed: Yes  | TS(ms): 1784623964411 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.0, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0042 | Processed: Yes  | TS(ms): 1784623964477 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 52.9, Feat: 00.2, Predict: 02.5, States: 00.0
Frame: 0044 | Processed: Yes  | TS(ms): 1784623964543 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 57.9, Feat: 00.3, Predict: 02.4, States: 00.0
Frame: 0046 | Processed: Yes  | TS(ms): 1784623964609 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 53.0, Feat: 00.2, Predict: 02.4, States: 00.0
