Source: Offline Video - 9good.mp4
Date & Time: 2026-07-11 20:56:57
==========================================================================================
Frame: 0001 | Phase: High            | Hip: Good            | Times(ms) -> MP: 898.3, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0002 | Phase: High            | Hip: Good            | Times(ms) -> MP: 1762.8, Feat: 00.2, Predict: 05.4, States: 00.0
Frame: 0003 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2127.3, Feat: 00.3, Predict: 04.0, States: 00.0
Frame: 0004 | Phase: High            | Hip: Good            | Times(ms) -> MP: 1991.4, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0005 | Phase: High            | Hip: Good            | Times(ms) -> MP: 1771.6, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0006 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2339.5, Feat: 00.3, Predict: 08.0, States: 00.0
Frame: 0007 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2638.4, Feat: 00.4, Predict: 05.2, States: 00.0
Frame: 0008 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2485.5, Feat: 00.3, Predict: 05.3, States: 00.0
Frame: 0009 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2309.1, Feat: 00.3, Predict: 04.3, States: 00.0
Frame: 0010 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2500.0, Feat: 00.4, Predict: 07.4, States: 00.0
Frame: 0011 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2281.2, Feat: 00.2, Predict: 04.6, States: 00.0
Frame: 0012 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2149.6, Feat: 00.3, Predict: 03.9, States: 00.0
Frame: 0013 | Phase: High            | Hip: Good            | Times(ms) -> MP: 1883.3, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0014 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2107.6, Feat: 00.3, Predict: 05.3, States: 00.0
Frame: 0015 | Phase: High            | Hip: Good            | Times(ms) -> MP: 2044.9, Feat: 00.3, Predict: 04.3, States: 00.0
