Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-21 08:31:05
==========================================================================================
Frame: 0034 | Processed: Yes  | TS(ms): 1784622640647 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 67.1, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0036 | Processed: Yes  | TS(ms): 1784622640713 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 69.2, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0038 | Processed: Yes  | TS(ms): 1784622640779 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 78.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0040 | Processed: Yes  | TS(ms): 1784622640845 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 81.3, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0042 | Processed: Yes  | TS(ms): 1784622640911 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 76.7, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0044 | Processed: Yes  | TS(ms): 1784622640977 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 72.4, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0046 | Processed: Yes  | TS(ms): 1784622641043 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 79.4, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0048 | Processed: Yes  | TS(ms): 1784622641109 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 80.5, Feat: 00.8, Predict: 03.2, States: 00.0
Frame: 0050 | Processed: Yes  | TS(ms): 1784622641175 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: High            | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 92.1, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0052 | Processed: Yes  | TS(ms): 1784622641241 | Delta: 0000 | Plank: ACTIVE  [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: True | W_Low: True | A_Low: True] | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: HIGH            | HipStatus: Good Form  | Times(ms) -> MP: 100.5, Feat: 00.2, Predict: 05.0, States: 00.0
