Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 17:07:35
==========================================================================================
Frame: 0049 | Phase: High            | Hip: Good            | Times(ms) -> MP: 70.2, Feat: 00.2, Predict: 03.7, States: 00.0
Frame: 0050 | Phase: High            | Hip: Good            | Times(ms) -> MP: 72.8, Feat: 00.3, Predict: 04.5, States: 00.0
Frame: 0051 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.6, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0052 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.6, Feat: 00.2, Predict: 05.2, States: 00.1
Frame: 0053 | Phase: High            | Hip: Good            | Times(ms) -> MP: 77.3, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0054 | Phase: High            | Hip: Good            | Times(ms) -> MP: 75.8, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0055 | Phase: High            | Hip: Good            | Times(ms) -> MP: 75.8, Feat: 00.2, Predict: 04.5, States: 00.0
Frame: 0056 | Phase: High            | Hip: Good            | Times(ms) -> MP: 79.8, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0057 | Phase: High            | Hip: Good            | Times(ms) -> MP: 83.3, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0058 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.2, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0059 | Phase: High            | Hip: Good            | Times(ms) -> MP: 80.2, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0060 | Phase: High            | Hip: Good            | Times(ms) -> MP: 82.2, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0061 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.7, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0062 | Phase: High            | Hip: Good            | Times(ms) -> MP: 78.4, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0063 | Phase: High            | Hip: Good            | Times(ms) -> MP: 77.2, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0064 | Phase: High            | Hip: Good            | Times(ms) -> MP: 74.8, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0065 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 74.2, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0066 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 77.9, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0067 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 75.6, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0068 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.9, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0069 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.1, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0070 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 84.9, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0071 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.6, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0072 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 69.7, Feat: 00.4, Predict: 04.3, States: 00.0
Frame: 0073 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.5, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0074 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0075 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 72.1, Feat: 00.2, Predict: 02.8, States: 00.0
Frame: 0076 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 74.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0077 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 81.8, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0078 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 79.1, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0079 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 82.4, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0080 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 84.6, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0081 | Phase: High            | Hip: Good            | Times(ms) -> MP: 86.4, Feat: 00.2, Predict: 04.3, States: 00.0
Frame: 0082 | Phase: High            | Hip: Good            | Times(ms) -> MP: 83.7, Feat: 00.2, Predict: 03.3, States: 00.1
Frame: 0083 | Phase: High            | Hip: Good            | Times(ms) -> MP: 81.8, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0084 | Phase: High            | Hip: Good            | Times(ms) -> MP: 89.7, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0085 | Phase: High            | Hip: Good            | Times(ms) -> MP: 91.1, Feat: 00.3, Predict: 05.7, States: 00.0
Frame: 0086 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 88.0, Feat: 00.2, Predict: 03.5, States: 00.0
Frame: 0087 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 88.7, Feat: 00.2, Predict: 03.3, States: 00.0
Frame: 0088 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 87.5, Feat: 00.3, Predict: 03.7, States: 00.0
Frame: 0089 | Phase: High            | Hip: Good            | Times(ms) -> MP: 117.7, Feat: 00.4, Predict: 09.7, States: 00.1
Frame: 0090 | Phase: High            | Hip: Good            | Times(ms) -> MP: 120.3, Feat: 00.3, Predict: 05.1, States: 00.0
Frame: 0091 | Phase: High            | Hip: Good            | Times(ms) -> MP: 82.2, Feat: 00.3, Predict: 05.2, States: 00.0
Frame: 0092 | Phase: High            | Hip: Good            | Times(ms) -> MP: 88.2, Feat: 00.5, Predict: 07.1, States: 00.0
Frame: 0093 | Phase: High            | Hip: Good            | Times(ms) -> MP: 92.8, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0094 | Phase: High            | Hip: Good            | Times(ms) -> MP: 86.7, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0095 | Phase: High            | Hip: Good            | Times(ms) -> MP: 93.0, Feat: 00.3, Predict: 04.7, States: 00.0
Frame: 0096 | Phase: High            | Hip: Good            | Times(ms) -> MP: 87.0, Feat: 00.2, Predict: 04.6, States: 00.0
Frame: 0097 | Phase: High            | Hip: Good            | Times(ms) -> MP: 89.1, Feat: 00.2, Predict: 04.1, States: 00.0
Frame: 0098 | Phase: High            | Hip: Good            | Times(ms) -> MP: 92.6, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0099 | Phase: High            | Hip: Good            | Times(ms) -> MP: 107.0, Feat: 00.2, Predict: 03.8, States: 00.0
Frame: 0100 | Phase: High            | Hip: Good            | Times(ms) -> MP: 90.9, Feat: 00.4, Predict: 04.3, States: 00.0
Frame: 0101 | Phase: High            | Hip: Good            | Times(ms) -> MP: 132.7, Feat: 00.3, Predict: 05.5, States: 00.0
Frame: 0102 | Phase: High            | Hip: Good            | Times(ms) -> MP: 92.2, Feat: 00.2, Predict: 02.7, States: 00.0
Frame: 0103 | Phase: High            | Hip: Good            | Times(ms) -> MP: 86.3, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0104 | Phase: High            | Hip: Good            | Times(ms) -> MP: 89.2, Feat: 00.2, Predict: 04.0, States: 00.0
Frame: 0105 | Phase: High            | Hip: Good            | Times(ms) -> MP: 98.5, Feat: 00.3, Predict: 05.0, States: 00.0
Frame: 0106 | Phase: High            | Hip: Good            | Times(ms) -> MP: 87.4, Feat: 00.3, Predict: 03.3, States: 00.0
Frame: 0107 | Phase: High            | Hip: Good            | Times(ms) -> MP: 89.2, Feat: 00.2, Predict: 03.4, States: 00.0
Frame: 0108 | Phase: High            | Hip: Good            | Times(ms) -> MP: 88.1, Feat: 00.3, Predict: 05.0, States: 00.0
Frame: 0109 | Phase: High            | Hip: Good            | Times(ms) -> MP: 113.3, Feat: 00.3, Predict: 05.2, States: 00.0
Frame: 0110 | Phase: High            | Hip: Good            | Times(ms) -> MP: 106.3, Feat: 00.2, Predict: 03.2, States: 00.0
Frame: 0111 | Phase: High            | Hip: Good            | Times(ms) -> MP: 73.8, Feat: 00.2, Predict: 03.9, States: 00.0
Frame: 0112 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 77.0, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0113 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 74.0, Feat: 00.2, Predict: 03.1, States: 00.0
Frame: 0114 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 73.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0115 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 73.0, Feat: 00.3, Predict: 03.8, States: 00.0
Frame: 0116 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 74.5, Feat: 00.3, Predict: 04.4, States: 00.0
Frame: 0117 | Phase: Medium          | Hip: Good            | Times(ms) -> MP: 81.3, Feat: 00.2, Predict: 03.6, States: 00.0
Frame: 0118 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.6, Feat: 00.2, Predict: 04.2, States: 00.1
Frame: 0119 | Phase: Low             | Hip: Good            | Times(ms) -> MP: 78.2, Feat: 00.2, Predict: 03.3, States: 00.0
