Source: Offline Video - doron_test_for_project.mp4
Date & Time: 2026-07-20 18:35:15
==========================================================================================
Frame: 0034 | Processed: Yes  | TS(ms): 1784572467819 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 125.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0036 | Processed: Yes  | TS(ms): 1784572467885 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 131.6, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0038 | Processed: Yes  | TS(ms): 1784572467951 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 132.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0040 | Processed: Yes  | TS(ms): 1784572468017 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 135.6, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0042 | Processed: Yes  | TS(ms): 1784572468083 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 156.8, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0044 | Processed: Yes  | TS(ms): 1784572468149 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 132.2, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0046 | Processed: Yes  | TS(ms): 1784572468215 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 127.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0048 | Processed: Yes  | TS(ms): 1784572468281 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 130.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0050 | Processed: Yes  | TS(ms): 1784572468347 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 126.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0052 | Processed: Yes  | TS(ms): 1784572468413 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.2) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 126.6, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0054 | Processed: Yes  | TS(ms): 1784572468479 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 123.3, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0056 | Processed: Yes  | TS(ms): 1784572468545 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 178.1, Feat: 00.7, Predict: 00.0, States: 00.0
Frame: 0058 | Processed: Yes  | TS(ms): 1784572468611 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 178.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0060 | Processed: Yes  | TS(ms): 1784572468677 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.1) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 127.5, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0062 | Processed: Yes  | TS(ms): 1784572468743 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 133.3, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0064 | Processed: Yes  | TS(ms): 1784572468809 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 128.4, Feat: 00.6, Predict: 00.0, States: 00.0
Frame: 0066 | Processed: Yes  | TS(ms): 1784572468875 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.5, dy:0.0) | SameLvl: False | W_Low: True | A_Low: False] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 130.9, Feat: 00.3, Predict: 00.0, States: 00.0
